Model,Valid_Samples,Outliers,Accuracy,Prec(m),Rec(m),F1(m),Prec(w),Rec(w),F1(w)
qwen2.5,1036,0,0.9372586872586872,0.9361709666951388,0.940241698667269,0.9369951731229305,0.9399417313154403,0.9372586872586872,0.9374042099903738
LLaVA-OneVision,1036,0,0.7808880308880309,0.8350196103106189,0.8006814245915217,0.7778577534702051,0.8512903740676973,0.7808880308880309,0.7752532175077764
LLaVA-NeXT,1036,0,0.7905405405405406,0.8181063090305731,0.8049506814245915,0.7897127506030936,0.8303577616928098,0.7905405405405406,0.7883882867031788
